emotion,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
happy,0.36673665,0.22265701,0.2996616,0.3122913,0.68490076,1.0,0.6352416,0.35995114,1.0,0.91843665,0.7228928,0.15855648,0.37926263,0.0,0.4910596,0.25508884,0.7204265,0.17324491,0.30286086,0.8323104
neutral,0.2555682,0.18580766,0.3178503,0.273964,0.33626038,0.0,0.24705298,0.027105179,1.0,0.1078537,0.47993976,0.12250442,0.33516246,0.0,0.36172494,0.4322318,0.008998189,0.0936675,0.26343182,0.1926743
neutral,0.400944,0.29042098,0.8592451,0.26167953,0.29266825,0.0,0.5374068,0.025562393,1.0,0.11580016,0.24586621,0.12916555,0.5692732,0.0,0.4602028,0.49196458,0.12784268,0.12743248,0.5307035,0.47771645
angry,0.51507986,0.28449184,0.66649675,0.3112769,0.27646893,1.0,0.32896852,0.036559388,0.0,0.08861778,0.3328186,0.34533975,0.59615624,0.0,0.5200562,0.6563439,0.02101587,0.04607465,0.20353882,0.3043881
neutral,0.2911134,0.24749954,0.39696872,0.4006432,0.12012019,0.0,0.2667089,0.007131429,0.0,0.07734974,0.33162022,0.63436234,0.4930729,0.0,0.39099407,0.5327817,0.099728115,0.24314168,0.08287243,0.09127154
neutral,0.46502152,0.32377562,0.29104504,0.48051247,0.08774595,0.0,0.14486231,3.851747e-06,1.0,0.05086374,0.14985795,0.22384468,0.46297556,0.0,0.40659618,0.3717852,0.010027051,0.050808314,0.113464996,0.06653307
neutral,0.21476634,0.2677084,0.17038517,0.28066552,0.2779888,0.0,0.2967832,0.43117526,1.0,0.0978869,0.30975538,0.49985823,0.52825963,0.0,0.25448892,0.41297868,0.20522925,0.06103678,0.3026781,0.29372066
happy,0.32362583,0.29688463,0.16606104,0.26075038,0.5989464,1.0,0.63754636,0.8287069,0.0,0.74739665,0.6368676,0.3461949,0.36041042,0.0,0.2488497,0.4421121,0.5582469,0.07575068,0.5777123,0.4689742
happy,0.37316748,0.33100975,0.52217627,0.4121244,0.88109756,1.0,0.45451674,0.3516488,0.0,0.9182633,0.5758677,0.25685257,0.48748598,0.0,0.3771118,0.3645715,0.7380675,0.10420191,0.6511546,0.77884555
happy,0.28645897,0.2179863,0.35577965,0.26300812,0.48403788,0.0,0.5471446,0.36422724,1.0,0.8417407,0.68158466,0.34321368,0.43621948,1.0,0.4879618,0.4860767,0.07981006,0.1039849,0.1157104,0.519098
happy,0.5757718,0.28793558,0.64372647,0.27525213,0.78247476,1.0,0.584637,0.20525289,1.0,0.9201746,0.5645502,0.16602269,0.49980077,1.0,0.2095755,0.44846913,0.9337693,0.21305,0.36384284,0.7422344
fear,0.4105957,0.23156314,0.5835215,0.30573466,0.34387895,0.0,0.46356216,0.09003399,1.0,0.45498374,0.5261618,0.25580692,0.49379632,0.0,0.2840598,0.47116825,0.047219004,0.024177188,0.09528956,0.04095349
neutral,0.29654384,0.2675869,0.57696766,0.3062225,0.5021255,0.0,0.7540784,0.08790509,0.0,0.2936564,0.3719111,0.5433241,0.676173,0.0,0.4343839,0.6378244,0.023793565,0.070599526,0.56281567,0.52929467
happy,0.31697923,0.39124262,0.5286603,0.26957107,0.37936154,0.0,0.47256628,0.024552358,0.0,0.60529727,0.59043795,0.20793445,0.5200887,0.0,0.38469344,0.61703664,0.03689395,0.051401313,0.24801189,0.7383126
disgust,0.33650273,0.43519038,0.084848486,0.46750346,0.18586284,1.0,0.3458548,0.0022793978,0.0,0.09057442,0.4755932,0.35363603,0.5411666,0.0,0.6159806,0.4845827,0.01054813,0.03828923,0.14043656,0.12936327
angry,0.428694,0.15285148,0.42721176,0.31664506,0.42722398,0.0,0.5911449,0.7146943,0.0,0.29961604,0.36923185,0.12955058,0.2947876,1.0,0.33142003,0.09487797,0.9996747,0.3336561,0.08523394,0.22429493
surprise,0.35298315,0.14109783,0.31675595,0.4273847,0.22106585,1.0,0.3551964,0.048122082,1.0,0.06479351,0.28133684,0.09802646,0.40197212,1.0,0.48837298,0.19892661,0.9793228,0.29634756,0.3059041,0.46976596
neutral,0.2737177,0.217383,0.1685546,0.5637157,0.11791664,0.0,0.20357583,0.013234368,0.0,0.07121591,0.42155161,0.30816978,0.5022674,0.0,0.43210474,0.51711166,0.013372935,0.11415207,0.1411907,0.044391952
angry,0.35407495,0.35543212,0.62973994,0.31333888,0.29087123,1.0,0.36951736,0.4057433,0.0,0.35155404,0.18852878,0.42684355,0.38346022,0.0,0.812869,0.22254412,0.9928415,0.5121963,0.27956986,0.46105537
surprise,0.3858053,0.47169325,0.38685665,0.4703806,0.22695826,0.0,0.39435998,0.2567127,0.0,0.2099485,0.3197647,0.33578193,0.3464865,1.0,0.7389568,0.081034504,0.7897308,0.31889257,0.12615621,0.2532907
surprise,0.2576396,0.31306845,0.29115313,0.33990666,0.23788688,0.0,0.35908574,0.9165815,0.0,0.11800979,0.42447117,0.15706925,0.35714474,1.0,0.40497747,0.20386675,0.86416006,0.23036063,0.10103278,0.15994366
happy,0.49669346,0.45610756,0.663679,0.3557708,0.3730161,1.0,0.5148795,0.014684841,1.0,0.75391304,0.68584675,0.22646569,0.4997037,0.0,0.5311881,0.57646,0.0399565,0.054933958,0.40982816,0.80670506
happy,0.4162272,0.408843,0.24958079,0.263066,0.6993038,1.0,0.60186785,0.030668676,0.0,0.9064664,0.77614963,0.5954142,0.62766355,1.0,0.60525787,0.73779577,0.17158982,0.093838915,0.085835434,0.7953023
happy,0.32211265,0.35333535,0.6014075,0.2496446,0.4701971,1.0,0.55286586,0.18437505,1.0,0.7934294,0.6963491,0.44504195,0.40928894,0.0,0.38571158,0.41054574,0.61354864,0.16060427,0.28541318,0.6654061
happy,0.39010084,0.23690395,0.07979722,0.30271912,0.6959184,1.0,0.34472826,0.8632355,1.0,0.8324957,0.7170588,0.14573544,0.37106398,1.0,0.35937613,0.04859129,0.99276745,0.18614842,0.032250665,0.2527865
neutral,0.34982035,0.24618855,0.5851132,0.307922,0.6313882,1.0,0.35343242,0.8034409,1.0,0.70513785,0.701151,0.70662016,0.5546144,0.0,0.4601781,0.7778358,0.34582466,0.13428223,0.12837118,0.30896208
neutral,0.5318993,0.40011507,0.14283998,0.7171577,0.049634505,0.0,0.113984756,0.00072389626,0.0,0.034641117,0.14401498,0.3433055,0.3020229,0.0,0.6060184,0.21855077,0.7606172,0.30371863,0.17260914,0.07140546
angry,0.2976431,0.20601906,0.23434728,0.29820088,0.22709353,0.0,0.30594757,0.0192385,1.0,0.17980187,0.6079108,0.13433151,0.28947425,1.0,0.61497056,0.1316474,0.99876815,0.3925315,0.057490267,0.28816262
neutral,0.5123387,0.33397394,0.17953342,0.34769085,0.21637273,0.0,0.31116885,0.035807583,1.0,0.10361482,0.23006646,0.104763,0.4050686,0.0,0.61636746,0.19409153,0.60743916,0.12845854,0.43388844,0.37377718
neutral,0.32214448,0.18834978,0.55032235,0.27525607,0.53810877,1.0,0.6487378,0.4506553,1.0,0.45005658,0.5135129,0.8724919,0.60614187,0.0,0.64334166,0.7701346,0.039824717,0.029884702,0.35284454,0.411406
sad,0.4348611,0.21378691,0.08074757,0.31413528,0.27762565,0.0,0.36591426,0.06004932,0.0,0.25682405,0.663141,0.13416685,0.46711454,0.0,0.33077773,0.5874498,0.14316286,0.16697437,0.62294626,0.36795425
surprise,0.41505376,0.159996,0.59838796,0.29868674,0.3044851,1.0,0.34878337,0.7841814,1.0,0.10382829,0.2942535,0.45610338,0.35981432,1.0,0.34334466,0.22213417,0.96169615,0.20532057,0.18895794,0.36040822
happy,0.38873112,0.2607465,0.5115613,0.24817365,0.8217772,1.0,0.6489495,0.9978485,1.0,0.7600739,0.86089456,0.18824488,0.47419146,0.0,0.14721037,0.47436273,0.88374275,0.12960945,0.26037788,0.7514592
angry,0.45725453,0.27694395,0.79884124,0.28430656,0.2295453,0.0,0.48051843,0.24993862,0.0,0.29023355,0.21671125,0.41131008,0.51689744,0.0,0.42522392,0.22006233,0.7978754,0.12817438,0.17231545,0.46915832
happy,0.5643979,0.18813547,0.54832,0.24212258,0.577263,1.0,0.6285357,0.091836125,1.0,0.8969439,0.65804017,0.5687187,0.5320807,0.0,0.49964774,0.71815836,0.10216879,0.11633149,0.5627511,0.7891108
neutral,0.26588863,0.33693233,0.3522013,0.40557843,0.36753407,0.0,0.2955208,0.039292857,0.0,0.48931077,0.44891822,0.72594666,0.4215301,0.0,0.5793066,0.55989903,0.44938886,0.13546123,0.059765253,0.1250341
happy,0.51933336,0.47256356,0.36866286,0.39025757,0.6310102,1.0,0.5301851,0.73073095,1.0,0.8434424,0.85918385,0.23027104,0.53012115,0.0,0.30020812,0.6969222,0.8209769,0.06785236,0.2744326,0.75444317
happy,0.50095284,0.3186782,0.6124407,0.28762385,0.50773025,1.0,0.5390559,0.42360127,1.0,0.74690914,0.665546,0.51187164,0.54680604,0.0,0.54782534,0.69909036,0.5241979,0.07861281,0.38137943,0.79772896
surprise,0.52580696,0.3775103,0.40226287,0.3996969,0.17681831,0.0,0.43559462,0.007087158,0.0,0.16206644,0.20143478,0.085335255,0.38880968,0.0,0.42893097,0.22753571,0.90450704,0.09699764,0.078733265,0.4120326
angry,0.19974647,0.21624944,0.7364409,0.31453323,0.35362914,0.0,0.35315454,0.3003456,0.0,0.30626586,0.3532509,0.114219435,0.4236041,0.0,0.2218907,0.36338836,0.00021546117,0.011199196,0.27331486,0.251482
fear,0.28799373,0.1528222,0.14623177,0.39413795,0.22198531,0.0,0.2975523,0.015135632,1.0,0.10055238,0.44064564,0.37144655,0.5394166,0.0,0.36406267,0.5290844,0.56781673,0.03575826,0.13252553,0.09855109
neutral,0.26586053,0.24418502,0.29628807,0.3089757,0.3800948,0.0,0.4805563,0.06270536,1.0,0.37272355,0.5780646,0.20983939,0.38055357,1.0,0.36372697,0.4956325,0.0666754,0.062029533,0.22567858,0.13015261
happy,0.39826933,0.3033478,0.35196227,0.2967349,0.3467002,1.0,0.3634666,0.017979626,0.0,0.45389816,0.77135676,0.41073513,0.5644278,0.0,0.5332183,0.5960779,0.02954713,0.1568955,0.45996127,0.7608643
happy,0.38606128,0.3215221,0.6014836,0.30426574,0.8853465,1.0,0.73841655,0.97191423,0.0,0.9425933,0.8019395,0.7158003,0.41916633,0.0,0.44679812,0.4661424,0.9127815,0.1288502,0.11458522,0.8437848
happy,0.41862527,0.36887902,0.4221931,0.26311335,0.69690496,0.0,0.5710129,0.023564495,1.0,0.7727169,0.78895545,0.10598365,0.44429365,0.0,0.40170085,0.4970647,0.051301118,0.1309745,0.6597995,0.72836554
surprise,0.40671912,0.17062831,0.6873749,0.2882389,0.25263336,0.0,0.4106253,0.028788345,0.0,0.28772044,0.2195789,0.12629163,0.39187244,0.0,0.63312644,0.18433778,0.9921854,0.33935314,0.23339371,0.33345428
neutral,0.37479904,0.23514257,0.5769125,0.35325423,0.35012564,0.0,0.68423665,0.46711478,0.0,0.28778246,0.41855413,0.20160376,0.5615105,1.0,0.6582928,0.40015897,0.2500181,0.09490751,0.3753348,0.5408321
angry,0.4360538,0.22573179,0.2686286,0.39468357,0.19943635,0.0,0.30802736,0.270716,1.0,0.101610534,0.3155163,0.3877064,0.4057226,1.0,0.57830024,0.13488074,0.9918937,0.5854818,0.029523095,0.57746214
happy,0.30846855,0.35574675,0.48206168,0.31682187,0.60305387,1.0,0.5113327,0.027491584,0.0,0.7276887,0.7308482,0.2758173,0.54796046,0.0,0.39617926,0.453663,0.34675372,0.03066813,0.36652404,0.7614739
disgust,0.37937057,0.37626788,0.32624143,0.30279952,0.47628295,1.0,0.6770609,0.116209246,0.0,0.46927208,0.5262766,0.25459322,0.47673336,0.0,0.5093921,0.51252544,0.17215079,0.10514362,0.5314349,0.5359464
surprise,0.38537234,0.19942094,0.6106323,0.24036011,0.3543499,1.0,0.41356197,0.045462206,1.0,0.20003983,0.2855576,0.12330058,0.43153158,1.0,0.5934661,0.13865423,0.9721071,0.5597069,0.63342583,0.24547045
disgust,0.24624859,0.16115703,0.42936197,0.599566,0.09520856,0.0,0.12641598,0.14567873,0.0,0.048183855,0.44698012,0.30715597,0.33936712,0.0,0.53159785,0.39129254,0.17414585,0.07696866,0.11368181,0.031940863
neutral,0.41459483,0.28086996,0.20611021,0.26564848,0.74912965,1.0,0.60707515,0.09200943,1.0,0.7399593,0.5164607,0.28009835,0.5443735,0.0,0.29802793,0.3323802,0.013991175,0.03208184,0.07364941,0.42035705
surprise,0.32998464,0.080492124,0.6520468,0.27520904,0.25741726,0.0,0.41184163,0.07137877,0.0,0.25896978,0.18078655,0.53169954,0.41824344,0.0,0.7843641,0.3488297,0.6143797,0.39422536,0.14252104,0.542953
surprise,0.30394036,0.2147757,0.2674563,0.43043092,0.25016844,0.0,0.28425848,0.003379555,0.0,0.18179828,0.3687928,0.5506514,0.46203786,0.0,0.42151785,0.2943584,0.4490886,0.042757187,0.3070275,0.17965382
sad,0.29674816,0.33113244,0.2535046,0.27523622,0.34177068,1.0,0.4338958,0.94233036,0.0,0.068456136,0.592732,0.38478836,0.4920561,0.0,0.64754677,0.42660305,0.062775336,0.1113954,0.3937855,0.40680182
surprise,0.33929825,0.37245843,0.31131825,0.72361284,0.11727654,0.0,0.1343704,0.033067435,1.0,0.08378771,0.22847772,0.40902388,0.2961489,1.0,0.5892289,0.062226553,0.97685254,0.6237627,0.07122545,0.14383976
surprise,0.32015795,0.3602636,0.25966093,0.3468148,0.1700871,0.0,0.40018708,0.044693705,0.0,0.10822877,0.540814,0.16119891,0.5421493,1.0,0.69042367,0.23347715,0.9969258,0.32151738,0.63859946,0.22261976
neutral,0.24121584,0.15168038,0.2578021,0.32436138,0.140446,0.0,0.22238755,0.022392845,0.0,0.11812808,0.6787329,0.31530568,0.36951166,0.0,0.52473915,0.5822457,0.08199188,0.042211816,0.3483065,0.10735159
neutral,0.5893878,0.2994029,0.43254036,0.32215548,0.13932595,0.0,0.10858182,0.0058107493,0.0,0.04265045,0.2339919,0.46438718,0.60126257,0.0,0.59964466,0.55128527,0.084317364,0.13952123,0.071333945,0.05699422
neutral,0.3026306,0.12543064,0.48190194,0.2809786,0.28247434,0.0,0.3589876,0.005041636,0.0,0.054099295,0.3768371,0.22881374,0.5893435,0.0,0.46225214,0.40479285,0.08147828,0.042669166,0.12415603,0.28879246
angry,0.30490348,0.23554465,0.7899267,0.26508564,0.24839005,1.0,0.46874967,0.015821911,0.0,0.045117777,0.13994767,0.07738246,0.38523605,1.0,0.36910716,0.04033263,0.9792972,0.6550516,0.041148413,0.35418937
sad,0.26361078,0.14254346,0.28564298,0.27054963,0.4110675,0.0,0.35909003,0.7306522,1.0,0.39453834,0.5936371,0.47823057,0.41604024,0.0,0.35490534,0.7277832,0.27894607,0.1492489,0.28906742,0.34424323
fear,0.43368492,0.15105246,0.31797343,0.33736253,0.2955293,0.0,0.37581715,0.76961243,0.0,0.25961146,0.23002338,0.17946136,0.38681993,1.0,0.7062844,0.05936451,0.99749136,0.7380586,0.23802271,0.30207118
disgust,0.26889122,0.2586903,0.56805503,0.34258127,0.23112541,0.0,0.43039653,0.014476724,0.0,0.2886042,0.48976806,0.14202279,0.3626593,0.0,0.58223236,0.5094997,0.11888291,0.24526618,0.18677534,0.09753918
surprise,0.3317,0.2800017,0.48750514,0.45795485,0.19585769,1.0,0.4327752,0.015954569,1.0,0.2773137,0.2673708,0.050880328,0.28011292,1.0,0.53824943,0.1136933,0.9864987,0.08628274,0.18749104,0.28131142
happy,0.3847849,0.4262823,0.42526537,0.27014083,0.8636207,1.0,0.5629401,0.14549023,1.0,0.92065006,0.7197024,0.14504306,0.62508565,0.0,0.43431893,0.61996233,0.19475593,0.10093732,0.14117222,0.7344748
sad,0.25490397,0.20645835,0.2866182,0.3068672,0.1820604,0.0,0.25239027,0.17221624,1.0,0.11192449,0.44296852,0.33786672,0.44912127,0.0,0.6821582,0.3560512,0.0047224867,0.060037076,0.30048788,0.25391605
neutral,0.43589622,0.350811,0.3238241,0.32350338,0.1598076,0.0,0.21671999,0.049574476,1.0,0.08858267,0.35161334,0.5215833,0.46530738,0.0,0.6442163,0.5106928,0.08558385,0.1742687,0.14593565,0.07394534
happy,0.36384484,0.30254012,0.21631645,0.3678008,0.5316205,0.0,0.44215775,0.36480403,1.0,0.80935675,0.42688406,0.23296615,0.4658764,0.0,0.47249627,0.44214344,0.68635815,0.088095576,0.23784699,0.39717373
angry,0.31976044,0.26219103,0.6052125,0.2815358,0.26407266,0.0,0.35569516,0.3348715,1.0,0.121596724,0.53588635,0.0566418,0.33009773,0.0,0.19074473,0.36415604,0.15556206,0.11679545,0.18057258,0.25355157
surprise,0.40985465,0.22132424,0.40332097,0.34239927,0.18045695,1.0,0.4735206,0.831852,1.0,0.28399634,0.47601983,0.16745414,0.30894116,1.0,0.6621358,0.016366983,0.9997466,0.78526366,0.12981082,0.46288586
neutral,0.3652064,0.32714516,0.52080595,0.31695774,0.1657317,1.0,0.4801691,0.002616262,0.0,0.25476485,0.43897685,0.19634324,0.3922593,0.0,0.49838138,0.54566574,0.22049595,0.12131455,0.20714499,0.72909045
neutral,0.31398958,0.17799443,0.28799307,0.31510448,0.33750024,1.0,0.44327757,0.77083486,0.0,0.29276896,0.35842288,0.40326655,0.6211635,0.0,0.42663723,0.45982274,0.26356617,0.23966627,0.7767967,0.7504465
neutral,0.39966992,0.16909842,0.33858803,0.30836427,0.46925002,0.0,0.45903945,0.42160872,0.0,0.39025617,0.35233548,0.13981828,0.50001556,0.0,0.40173864,0.36370036,0.5044618,0.08451521,0.39799586,0.20626196
neutral,0.35657144,0.3590712,0.7553211,0.3052586,0.20654842,1.0,0.5757836,0.023828698,0.0,0.32361045,0.5035676,0.3771907,0.45750597,0.0,0.48147506,0.21406293,0.18666463,0.12139421,0.44898194,0.48548305
neutral,0.38823202,0.20512219,0.5279258,0.3206152,0.1421,0.0,0.34449768,0.9168417,0.0,0.16095538,0.5658123,0.47371528,0.46417642,0.0,0.47468764,0.7115701,0.62933224,0.08825503,0.093056336,0.1328048
disgust,0.3409419,0.1340012,0.58988214,0.32343853,0.20367046,1.0,0.3114415,0.3828543,0.0,0.2092545,0.37310395,0.07482875,0.35206425,1.0,0.7088698,0.44998887,0.13622767,0.24451071,0.26230833,0.24172194
neutral,0.39223063,0.24896622,0.27216586,0.4125172,0.09823425,0.0,0.18422367,0.021364067,1.0,0.084082484,0.3694409,0.28263682,0.46129423,0.0,0.5658824,0.5498785,0.3455812,0.31444013,0.017384656,0.12789723
neutral,0.42182392,0.37963986,0.25619996,0.39727372,0.38305408,0.0,0.3357395,0.0661098,0.0,0.40579614,0.36686692,0.30479345,0.5701523,0.0,0.6335715,0.2836897,0.060722455,0.043187983,0.35487953,0.24802464
sad,0.26457798,0.33215556,0.56060976,0.28545016,0.36621222,0.0,0.49191698,0.058207273,0.0,0.4577249,0.5137164,0.38523152,0.5240856,1.0,0.38720167,0.5343193,0.038398128,0.09740102,0.6326762,0.47515112
surprise,0.4806736,0.2831027,0.7335592,0.26700753,0.19667664,0.0,0.53279626,0.32917896,0.0,0.24506806,0.22915041,0.31105858,0.49255085,1.0,0.44948423,0.37112823,0.7782053,0.11235908,0.5227394,0.44421154
happy,0.35264233,0.46033725,0.5083904,0.28997537,0.6509913,1.0,0.6331543,0.038380656,0.0,0.90133417,0.65556556,0.4065649,0.46406043,1.0,0.5987367,0.48255768,0.79878175,0.06214442,0.56409997,0.57071084
sad,0.38885665,0.22707991,0.5494801,0.33010316,0.17345795,0.0,0.289607,0.012330989,1.0,0.1114272,0.34550765,0.31146958,0.4009276,0.0,0.37240416,0.3721549,0.04636369,0.3928799,0.23884623,0.093744785
surprise,0.35094926,0.47604522,0.4942291,0.34727317,0.23331247,0.0,0.4912658,0.14614812,1.0,0.2509157,0.5590651,0.09299406,0.33746052,0.0,0.54272515,0.35666284,0.8673266,0.22973216,0.117647216,0.07090466
neutral,0.3407672,0.13434877,0.21944714,0.35436133,0.15896516,0.0,0.3912243,0.013044079,0.0,0.12340771,0.11917511,0.24722004,0.49442184,0.0,0.599315,0.3013133,0.25799075,0.18537028,0.28632492,0.21493722
happy,0.4448761,0.41284803,0.5500798,0.29232863,0.8350839,1.0,0.693491,0.06986561,0.0,0.8792978,0.91100997,0.16967161,0.61205786,0.0,0.3918768,0.52211666,0.56836206,0.043958463,0.056703985,0.5944621
happy,0.3942327,0.5136631,0.48984367,0.28709185,0.44422486,1.0,0.60419863,0.29198065,1.0,0.7677864,0.75293183,0.49692437,0.4366606,0.0,0.55409384,0.354047,0.6596538,0.08393173,0.43942162,0.74165833
neutral,0.41271195,0.23107965,0.2813076,0.31062758,0.2559056,1.0,0.46077582,0.026888376,0.0,0.14625771,0.361265,0.118552044,0.5446453,0.0,0.6823677,0.45943275,0.017354265,0.06186327,0.13332722,0.44082496
fear,0.34143445,0.23088744,0.5407262,0.35316464,0.18594833,0.0,0.40395108,0.5617593,1.0,0.1436967,0.52265114,0.5060403,0.36994684,0.0,0.2663053,0.56297153,0.76750416,0.06318762,0.0673388,0.22923057
angry,0.3472626,0.12112205,0.61603934,0.3126872,0.25192472,0.0,0.44745418,0.07255986,1.0,0.15237932,0.37104487,0.078882545,0.30626568,1.0,0.4143078,0.3934274,0.16864811,0.13368995,0.09284048,0.1762468
angry,0.38418108,0.30482915,0.4648493,0.37234598,0.18921861,0.0,0.49185288,0.0319751,0.0,0.17197132,0.31886572,0.2128085,0.38995117,0.0,0.77023363,0.36209792,0.5357537,0.5270717,0.3110544,0.42215627
disgust,0.47116995,0.15015343,0.6598898,0.2792874,0.17540416,0.0,0.45010594,0.35410866,0.0,0.1585359,0.46696398,0.33316743,0.4833846,0.0,0.45516318,0.50033796,0.025332972,0.031507455,0.2838435,0.27660835
fear,0.48239645,0.2963032,0.55440736,0.2576491,0.2130635,1.0,0.35293257,0.0875714,1.0,0.114622,0.3412759,0.363068,0.4050019,0.0,0.3627367,0.66729283,0.6671358,0.109400816,0.5621632,0.21771957
angry,0.2037111,0.28690314,0.17460822,0.33971557,0.27839038,0.0,0.45961237,0.06422016,0.0,0.13074628,0.17514338,0.05974397,0.3716829,0.0,0.378184,0.16617998,0.20006269,0.1318665,0.11067301,0.28233317
angry,0.32867748,0.2439209,0.8559473,0.2906476,0.55425924,0.0,0.7147912,0.18754365,1.0,0.65564406,0.45472345,0.39604115,0.6347562,0.0,0.27762485,0.6126776,0.31469777,0.030842263,0.22977658,0.7821367
happy,0.4091669,0.3595028,0.28548098,0.3213139,0.81136596,1.0,0.5268331,0.073627226,1.0,0.93823826,0.7000324,0.29131266,0.44081637,0.0,0.36355346,0.32821319,0.5498789,0.1794695,0.28459114,0.6548371
surprise,0.47727367,0.4462385,0.68706924,0.38093558,0.114130795,1.0,0.45519575,0.9422099,1.0,0.13167822,0.31472257,0.15593156,0.32215112,1.0,0.6978812,0.18821307,0.9370304,0.5866119,0.3253586,0.43483937
neutral,0.26215234,0.17671391,0.10924678,0.451167,0.108641185,0.0,0.2576009,0.0019392016,0.0,0.07828379,0.29536915,0.09461631,0.36831892,0.0,0.66230404,0.15182342,0.1764033,0.06352972,0.17577185,0.2590734
happy,0.30560872,0.24225043,0.24390191,0.272377,0.88749444,1.0,0.584667,0.91933334,1.0,0.9597532,0.6860811,0.6620935,0.3183517,1.0,0.5837817,0.5615305,0.99401987,0.21234776,0.094868556,0.8350246
neutral,0.6380178,0.398796,0.24658713,0.6305698,0.06774003,0.0,0.120295316,0.0012171494,0.0,0.041876797,0.15637146,0.11145514,0.35099018,0.0,0.26274946,0.31515265,0.27098277,0.14515854,0.02707182,0.0575264
neutral,0.37602702,0.17715831,0.3137875,0.27239808,0.15699813,0.0,0.38390988,0.02549681,0.0,0.30316693,0.5681911,0.4582833,0.43054217,0.0,0.7549329,0.37841293,0.10397604,0.09092249,0.6905774,0.48920423
surprise,0.33601564,0.22235738,0.40187567,0.44011724,0.3006105,0.0,0.16358693,0.0038620937,1.0,0.4125977,0.18531701,0.08062682,0.28896466,1.0,0.27872103,0.053305343,0.91206396,0.40036327,0.07032584,0.09452791
happy,0.36060867,0.18448552,0.22346634,0.34196538,0.8936442,1.0,0.42541286,0.8587274,0.0,0.938076,0.6322046,0.09755742,0.3849893,0.0,0.17380974,0.34292948,0.59385544,0.18470505,0.45222357,0.7214416
angry,0.30342117,0.14102738,0.8284257,0.25356522,0.38773406,1.0,0.67185193,0.7972731,0.0,0.14488108,0.27200192,0.15306434,0.25165465,1.0,0.27561736,0.007386896,0.9997179,0.7963927,0.025114555,0.8401447
happy,0.30236402,0.31969738,0.17740422,0.45741257,0.50710225,0.0,0.47160834,0.018823674,0.0,0.7760282,0.42360356,0.34256363,0.49547723,0.0,0.6535649,0.19187708,0.678987,0.1558824,0.20569658,0.095610425
neutral,0.35956237,0.21738313,0.30273664,0.42883098,0.4145308,0.0,0.37495422,0.005001803,0.0,0.39899617,0.43853575,0.24934198,0.5242162,0.0,0.49072477,0.6876233,0.13516341,0.08696911,0.3653362,0.0858542
surprise,0.29797858,0.311428,0.8008972,0.30992725,0.3195568,1.0,0.30038473,0.0010031215,0.0,0.20132557,0.3502361,0.35982102,0.5471852,0.0,0.57768893,0.3809322,0.257111,0.16055658,0.07456452,0.45415667
angry,0.34186235,0.11061889,0.6081247,0.25723433,0.4877776,0.0,0.3792005,0.32765022,0.0,0.24820244,0.29536065,0.5492588,0.34066603,1.0,0.5918844,0.014338149,0.997881,0.8487965,0.03309401,0.8023398
angry,0.25377613,0.29659745,0.45177042,0.26440346,0.3996318,0.0,0.24927531,0.49137428,0.0,0.3020801,0.51042426,0.63198596,0.44647926,0.0,0.188008,0.7331475,0.0033073323,0.033188943,0.25098234,0.18907955
happy,0.46528953,0.38857687,0.35140365,0.24200071,0.71408117,1.0,0.47467047,0.28321216,0.0,0.9121152,0.8637539,0.21958707,0.6180055,1.0,0.6312779,0.5734523,0.08597683,0.16736878,0.5096109,0.7246464
happy,0.35925397,0.43122852,0.43405584,0.33909446,0.7784387,0.0,0.6057401,0.7337952,0.0,0.92989016,0.88175863,0.24030271,0.326901,1.0,0.32199964,0.2078368,0.58406615,0.03493794,0.2991622,0.6699449
surprise,0.5673539,0.5889378,0.57839876,0.36687493,0.18750678,1.0,0.43970355,0.0019030102,0.0,0.12413726,0.2908095,0.19777773,0.39899305,0.0,0.7721308,0.3362576,0.7337697,0.318324,0.59987545,0.34022272
angry,0.43723997,0.17309289,0.15880156,0.40804124,0.23938888,1.0,0.26681992,0.0015624217,1.0,0.09678438,0.47825515,0.5479503,0.4671819,0.0,0.50783026,0.45055413,0.019524502,0.07087127,0.11149295,0.10927599
disgust,0.5025323,0.2353993,0.19976223,0.563403,0.06433365,0.0,0.1523017,0.023769554,1.0,0.036387883,0.16875085,0.18888834,0.40774935,0.0,0.6138339,0.21301551,0.969558,0.6998691,0.105894715,0.057436846
happy,0.3057912,0.3612202,0.6608799,0.2658695,0.45184475,1.0,0.4705998,0.6987068,0.0,0.81329685,0.7139507,0.6661403,0.3791338,0.0,0.50446427,0.4980385,0.82447654,0.07810415,0.6660692,0.8012541
happy,0.31417271,0.2802897,0.5213991,0.26864284,0.5086035,1.0,0.5484643,0.1677536,1.0,0.69378674,0.7644471,0.3048251,0.46989295,0.0,0.2452471,0.35151964,0.26912892,0.096917205,0.44803926,0.7662335
disgust,0.4064568,0.35481367,0.43706885,0.29306903,0.25551257,0.0,0.464802,0.020304704,0.0,0.28818855,0.31767142,0.3128179,0.489309,0.0,0.61256087,0.5468527,0.22283141,0.11452092,0.34628445,0.5082912
